16902,"14444 129th Ave NE,  Kirkland, WA, 98034",Match,Non_Exact,"14444 129TH PL NE, KIRKLAND, WA, 98034","-122.16729,47.73239",186600250,R,53,033,021906,
20439,"803 SW 4th Pl,  Renton, WA, 98057",No_Match,,,,,,,,,
16903,"11238 312th Ave NE,  Carnation, WA, 98014",Match,Exact,"11238 312TH AVE NE, CARNATION, WA, 98014","-121.921295,47.697876",187022695,R,53,033,032402,
16900,"7910 37th Ave SW,  Seattle, WA, 98126",Match,Exact,"7910 37TH AVE SW, SEATTLE, WA, 98126","-122.37931,47.53188",186662120,L,53,033,011500,
16901,"6721 Croft Pl SW,  Seattle, WA, 98126",Match,Non_Exact,"6721 CROFT PL SW, SEATTLE, WA, 98106","-122.36057,47.54097",186590997,R,53,033,010800,
20436,"4757 245th Ln SE,  Issaquah, WA, 98029",No_Match,,,,,,,,,
20435,"2900 122nd Way SE,  Auburn, WA, 98092",No_Match,,,,,,,,,
20438,"5215 NE 7th Ct,  Renton, WA, 98059",Match,Non_Exact,"5215 NE 7TH CT, RENTON, WA, 98059","-122.15001,47.49537",628012134,R,53,033,025102,
20437,"8505 Midvale Ave N,  Seattle, WA, 98103",Match,Exact,"8505 MIDVALE AVE N, SEATTLE, WA, 98103","-122.342384,47.69071",186580103,L,53,033,001800,
20432,"5956 26th Ave SW,  Seattle, WA, 98106",Match,Exact,"5956 26TH AVE SW, SEATTLE, WA, 98106","-122.36558,47.549313",629176358,R,53,033,010701,
20431,"24205 SE 258th St,  Maple Valley, WA, 98038",No_Match,,,,,,,,,
16908,"30405 SE 85th Pl #295,  Preston, WA, 98050",No_Match,,,,,,,,,
20434,"1828 273rd Pl SE,  Sammamish, WA, 98075",No_Match,,,,,,,,,
16909,"5090 Highland Dr,  Bellevue, WA, 98006",Match,Exact,"5090 HIGHLAND DR, BELLEVUE, WA, 98006","-122.14993,47.55706",186615207,R,53,033,024903,
20433,"211A 26th Ave E,  Seattle, WA, 98112",Match,Exact,"211 26TH AVE E, SEATTLE, WA, 98112","-122.29858,47.62038",186588033,L,53,033,007700,
16906,"3038 S 200th St,  SeaTac, WA, 98198",Match,Non_Exact,"3038 S 200TH ST, SEATAC, WA, 98198","-122.29365,47.422688",187005937,L,53,033,028802,
